name,cost,pdfBonus,pdcBonus,armBonus,evasionBonus,compatibleClasses,category
Pistolet laser,400,80,0,0,0,LEGER,FIREARM
Mitraillette laser,850,150,0,25,0,LEGER,FIREARM
Pistolet-mitrailleur Vipère,1600,300,0,25,0,LEGER,FIREARM
Autocanon léger,1500,200,0,50,0,TIREUR,FIREARM
Fusil laser,2300,350,0,60,0,TIREUR,FIREARM
Autocanon jumelé,2600,400,0,80,0,TIREUR,FIREARM
Fusil à pompe tactique,1000,0,200,0,0,MASTODONTE,FIREARM
Fusil à levier,1500,0,300,0,0,MASTODONTE,FIREARM
Canon à dispersion,2000,0,400,0,0,MASTODONTE,FIREARM
Pistolet plasma,900,100,0,0,0,ELEMENTAIRE,FIREARM
Fusil à impulsion,2250,250,0,0,0,ELEMENTAIRE,FIREARM
Canon cryogénique,2500,300,0,0,0,ELEMENTAIRE,FIREARM
Lance-flammes,3000,400,0,0,0,ELEMENTAIRE,FIREARM
Charges adhésives,3400,80,0,0,0,PILOTE_DESTRUCTEUR,FIREARM
Lance-roquettes,5500,400,0,200,0,PILOTE_DESTRUCTEUR,FIREARM
Lance-grenades,5800,500,0,100,0,PILOTE_DESTRUCTEUR,FIREARM
Fusil de précision léger,1000,150,0,30,0,SNIPER,FIREARM
Fusil de précision lourd,1800,300,0,50,0,SNIPER,FIREARM
Fusil de précision tactique,2300,400,0,60,0,SNIPER,FIREARM
Poing renforcé,100,0,20,0,0,LEGER,MELEE
Matraque rétractable,200,0,40,0,0,LEGER,MELEE
Masse d'assaut,250,0,50,0,0,TIREUR,MELEE
Épée courte,375,0,75,0,0,TIREUR,MELEE
Hache de combat,450,0,90,0,0,MASTODONTE,MELEE
Tronçonneuse à chaîne,500,0,100,0,0,MASTODONTE,MELEE
Gourdin électrifié,450,0,50,0,0,ELEMENTAIRE,MELEE
Gantelet énergétique,1000,0,85,0,0,ELEMENTAIRE,MELEE
Clé à choc,125,0,25,0,0,PILOTE_DESTRUCTEUR,MELEE
Extincteur lesté,250,0,50,0,0,PILOTE_DESTRUCTEUR,MELEE
Gant électrique,500,0,100,0,0,PILOTE_DESTRUCTEUR,MELEE
Couteau utilitaire,200,0,40,0,0,SNIPER,MELEE
Couteau de combat,300,0,60,0,0,SNIPER,MELEE
Combinaison furtive,750,0,0,50,10,LEGER,DEFENSIVE
Grenade lacrymogène,2500,0,0,0,25,LEGER,DEFENSIVE
Gilet blindé léger,500,0,0,50,0,TIREUR,DEFENSIVE
Gilet blindé renforcé,1000,0,0,100,0,TIREUR,DEFENSIVE
Armure carapace complète,2000,0,0,200,0,TIREUR,DEFENSIVE
Plastron dorsal,250,0,0,30,0,MASTODONTE,DEFENSIVE
Bouclier tactique,1500,0,0,150,0,MASTODONTE,DEFENSIVE
Bouclier balistique lourd,3000,0,0,300,0,MASTODONTE,DEFENSIVE
Grenade assourdissante,1250,0,0,0,15,LEGER,DEFENSIVE
Combinaison thermique légère,3000,0,0,100,20,LEGER,DEFENSIVE
Armure conductrice,1750,0,0,100,0,ELEMENTAIRE,DEFENSIVE
Armure ignifugée,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure isolante,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure régulation thermique,2750,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Protège-dents renforcé,150,0,0,20,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Casque tactique,750,0,0,75,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Gilet Kevlar renforcé,1500,0,0,150,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Treillis furtif urbain,1500,0,0,100,10,SNIPER,DEFENSIVE
Gilet à camouflage optique,2500,0,0,125,10,SNIPER,DEFENSIVE
