name,cost,pdfBonus,pdcBonus,armBonus,evasionBonus,compatibleClasses,category
Enmitic Disintegrator Pistol,400,80,0,0,0,LEGER,FIREARM
Gauss Blaster,850,150,0,25,0,LEGER,FIREARM
Tesla Carbine,1600,300,0,25,0,LEGER,FIREARM
Gauss Flayer,1500,200,0,50,0,TIREUR,FIREARM
Gauss Reaper,2300,350,0,60,0,TIREUR,FIREARM
Gauss Destructor,2600,400,0,80,0,TIREUR,FIREARM
Particle Caster,1000,0,200,0,0,MASTODONTE,FIREARM
Transdimensional Beamer,1500,0,300,0,0,MASTODONTE,FIREARM
Particle Beamer,2000,0,400,0,0,MASTODONTE,FIREARM
Voltaic Staff,900,100,0,0,0,ELEMENTAIRE,FIREARM
Thermal Cutting Beam,2250,250,0,0,0,ELEMENTAIRE,FIREARM
Entropic Lance,2500,300,0,0,0,ELEMENTAIRE,FIREARM
Eldritch Lance,3000,400,0,0,0,ELEMENTAIRE,FIREARM
Gauss Cannon,3400,80,0,0,0,PILOTE_DESTRUCTEUR,FIREARM
Heavy Gauss Cannon,5500,400,0,200,0,PILOTE_DESTRUCTEUR,FIREARM
Enmitic Annihilator,5800,500,0,100,0,PILOTE_DESTRUCTEUR,FIREARM
Synaptic Disintegrator,1000,150,0,30,0,SNIPER,FIREARM
Particle Shredder,1800,300,0,50,0,SNIPER,FIREARM
Enmitic Exterminator,2300,400,0,60,0,SNIPER,FIREARM
Flensing Claw,100,0,20,0,0,LEGER,MELEE
Voidblade,200,0,40,0,0,LEGER,MELEE
Hyperphase Reap-Blade,250,0,50,0,0,TIREUR,MELEE
Hyperphase Sword,375,0,75,0,0,TIREUR,MELEE
Hyperphase Glaive,450,0,90,0,0,MASTODONTE,MELEE
Hyperphase Harvester,500,0,100,0,0,MASTODONTE,MELEE
Gauntlet of Fire,450,0,50,0,0,ELEMENTAIRE,MELEE
Warscythe,1000,0,85,0,0,ELEMENTAIRE,MELEE
Monomolecular Proboscis,125,0,25,0,0,PILOTE_DESTRUCTEUR,MELEE
Rod of Covenant,250,0,50,0,0,PILOTE_DESTRUCTEUR,MELEE
Staff of Light,500,0,100,0,0,PILOTE_DESTRUCTEUR,MELEE
Tachyon Arrow,200,0,40,0,0,SNIPER,MELEE
Hyperphase Thresher,300,0,60,0,0,SNIPER,MELEE
Plaques de Métal Vivant Légères,750,0,0,50,10,LEGER,DEFENSIVE
Charge de Dislocation Neuronale,2500,0,0,0,25,LEGER,DEFENSIVE
Plaques de Métal Vivant,500,0,0,50,0,TIREUR,DEFENSIVE
Plaques de Métal Vivant Renforcées,1000,0,0,100,0,TIREUR,DEFENSIVE
Carapace de Métal Vivant Complète,2000,0,0,200,0,TIREUR,DEFENSIVE
Plaque Dorsale Gauss,250,0,0,30,0,MASTODONTE,DEFENSIVE
Bouclier Monolithique,1500,0,0,150,0,MASTODONTE,DEFENSIVE
Bouclier Phasique Lourd,3000,0,0,300,0,MASTODONTE,DEFENSIVE
Charge de Perturbation Synaptique,1250,0,0,0,15,LEGER,DEFENSIVE
Plaques Autoréparatrices Thermiques,3000,0,0,100,20,LEGER,DEFENSIVE
Armure à Charge Tesla,1750,0,0,100,0,ELEMENTAIRE,DEFENSIVE
Armure Thermo-résistante Nécrodermique,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure à Isolation de Phase,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure Adaptative Nécrodermique,2750,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Protecteur Mandibulaire Nécrodermique,150,0,0,20,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Casque de Métal Vivant,750,0,0,75,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Gilet de Métal Vivant,1500,0,0,150,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Camouflage Phasique Urbain,1500,0,0,100,10,SNIPER,DEFENSIVE
Camouflage à Distorsion de Phase,2500,0,0,125,10,SNIPER,DEFENSIVE
