name,cost,pdfBonus,pdcBonus,armBonus,evasionBonus,compatibleClasses,category
Flingue Shoota,400,80,0,0,0,LEGER,FIREARM
Shoota Dakka-Dakka,850,150,0,25,0,LEGER,FIREARM
Shoota kustomisée,1600,300,0,25,0,LEGER,FIREARM
Grosse Shoota,1500,200,0,50,0,TIREUR,FIREARM
Shoota d'assaut,2300,350,0,60,0,TIREUR,FIREARM
Dakkagun rotatif,2600,400,0,80,0,TIREUR,FIREARM
Boomstikk,1000,0,200,0,0,MASTODONTE,FIREARM
Grand Boomstikk,1500,0,300,0,0,MASTODONTE,FIREARM
Méga Boomstikk,2000,0,400,0,0,MASTODONTE,FIREARM
Zappeur bricolé,900,100,0,0,0,ELEMENTAIRE,FIREARM
Zappeur Sparky,2250,250,0,0,0,ELEMENTAIRE,FIREARM
Canon Freezy,2500,300,0,0,0,ELEMENTAIRE,FIREARM
Burna,3000,400,0,0,0,ELEMENTAIRE,FIREARM
Stikkbombs collantes,3400,80,0,0,0,PILOTE_DESTRUCTEUR,FIREARM
Rokkit Launcha,5500,400,0,200,0,PILOTE_DESTRUCTEUR,FIREARM
Lanceur de Stikkbombs,5800,500,0,100,0,PILOTE_DESTRUCTEUR,FIREARM
Sniper Shoota,1000,150,0,30,0,SNIPER,FIREARM
Grosse Sniper Shoota,1800,300,0,50,0,SNIPER,FIREARM
Sniper Shoota Longue-portée,2300,400,0,60,0,SNIPER,FIREARM
Poing de fer,100,0,20,0,0,LEGER,MELEE
Gourdin pliant,200,0,40,0,0,LEGER,MELEE
Choppa basique,250,0,50,0,0,TIREUR,MELEE
Choppa tranchant,375,0,75,0,0,TIREUR,MELEE
Grand Choppa,450,0,90,0,0,MASTODONTE,MELEE
Choppa vrombissante,500,0,100,0,0,MASTODONTE,MELEE
Zappeur-Choppa,450,0,50,0,0,ELEMENTAIRE,MELEE
Poing 'Zappy,1000,0,85,0,0,ELEMENTAIRE,MELEE
Clé kustom,125,0,25,0,0,PILOTE_DESTRUCTEUR,MELEE
Bidon Krump,250,0,50,0,0,PILOTE_DESTRUCTEUR,MELEE
Poing 'Zappy renforcé,500,0,100,0,0,PILOTE_DESTRUCTEUR,MELEE
Petit Choppa,200,0,40,0,0,SNIPER,MELEE
Choppa de poche,300,0,60,0,0,SNIPER,MELEE
Guenilles renforcées,750,0,0,50,10,LEGER,DEFENSIVE
Bombe puante,2500,0,0,0,25,LEGER,DEFENSIVE
Plaques de ferraille,500,0,0,50,0,TIREUR,DEFENSIVE
Armure de ferraille épaisse,1000,0,0,100,0,TIREUR,DEFENSIVE
Armure Mega-ferraille,2000,0,0,200,0,TIREUR,DEFENSIVE
Plaque de dos rouillée,250,0,0,30,0,MASTODONTE,DEFENSIVE
Bouclier de ferraille,1500,0,0,150,0,MASTODONTE,DEFENSIVE
Grand Bouclier kustom,3000,0,0,300,0,MASTODONTE,DEFENSIVE
Bombe Boum fort,1250,0,0,0,15,LEGER,DEFENSIVE
Guenilles chauffantes,3000,0,0,100,20,LEGER,DEFENSIVE
Armure Zappy,1750,0,0,100,0,ELEMENTAIRE,DEFENSIVE
Armure anti-feu bricolée,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure anti-Zap,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Armure toute-saison,2750,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Protège-crocs,150,0,0,20,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Casque kustom rouillé,750,0,0,75,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Gilet blindé de fortune,1500,0,0,150,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Guenilles planquées,1500,0,0,100,10,SNIPER,DEFENSIVE
Guenilles invisibles,2500,0,0,125,10,SNIPER,DEFENSIVE
