name,cost,pdfBonus,pdcBonus,armBonus,evasionBonus,compatibleClasses,category
Cracheur-de-chair,400,80,0,0,0,LEGER,FIREARM
Dévoreur mineur,850,150,0,25,0,LEGER,FIREARM
Dévoreur perforant,1600,300,0,25,0,LEGER,FIREARM
Cracheur-de-mort,1500,200,0,50,0,TIREUR,FIREARM
Dévoreur,2300,350,0,60,0,TIREUR,FIREARM
Dévoreur double,2600,400,0,80,0,TIREUR,FIREARM
Cracheur-à-clous,1000,0,200,0,0,MASTODONTE,FIREARM
Cracheur-à-pointes,1500,0,300,0,0,MASTODONTE,FIREARM
Canon-à-crachats,2000,0,400,0,0,MASTODONTE,FIREARM
Glande incendiaire,900,100,0,0,0,ELEMENTAIRE,FIREARM
Organe électrogène,2250,250,0,0,0,ELEMENTAIRE,FIREARM
Glande cryogénique,2500,300,0,0,0,ELEMENTAIRE,FIREARM
Glande incendiaire lourde,3000,400,0,0,0,ELEMENTAIRE,FIREARM
Glande explosive,3400,80,0,0,0,PILOTE_DESTRUCTEUR,FIREARM
Canon à spores explosives,5500,400,0,200,0,PILOTE_DESTRUCTEUR,FIREARM
Lanceur de spores,5800,500,0,100,0,PILOTE_DESTRUCTEUR,FIREARM
Dévoreur à pointe fine,1000,150,0,30,0,SNIPER,FIREARM
Dévoreur perforant lourd,1800,300,0,50,0,SNIPER,FIREARM
Dévoreur tactique,2300,400,0,60,0,SNIPER,FIREARM
Griffe acérée mineure,100,0,20,0,0,LEGER,MELEE
Fouet-tentacule,200,0,40,0,0,LEGER,MELEE
Massue osseuse,250,0,50,0,0,TIREUR,MELEE
Épée d'os,375,0,75,0,0,TIREUR,MELEE
Griffe-faucille,450,0,90,0,0,MASTODONTE,MELEE
Griffes rotatives,500,0,100,0,0,MASTODONTE,MELEE
Fouet électrique,450,0,50,0,0,ELEMENTAIRE,MELEE
Griffe électrogène,1000,0,85,0,0,ELEMENTAIRE,MELEE
Pince chitineuse,125,0,25,0,0,PILOTE_DESTRUCTEUR,MELEE
Sac glandulaire,250,0,50,0,0,PILOTE_DESTRUCTEUR,MELEE
Griffe électrisante,500,0,100,0,0,PILOTE_DESTRUCTEUR,MELEE
Griffe fine,200,0,40,0,0,SNIPER,MELEE
Griffe tranchante,300,0,60,0,0,SNIPER,MELEE
Carapace chitineuse fine,750,0,0,50,10,LEGER,DEFENSIVE
Glande à spores irritantes,2500,0,0,0,25,LEGER,DEFENSIVE
Exosquelette léger,500,0,0,50,0,TIREUR,DEFENSIVE
Exosquelette renforcé,1000,0,0,100,0,TIREUR,DEFENSIVE
Carapace biomécanique complète,2000,0,0,200,0,TIREUR,DEFENSIVE
Carapace dorsale,250,0,0,30,0,MASTODONTE,DEFENSIVE
Plastron chitineux,1500,0,0,150,0,MASTODONTE,DEFENSIVE
Carapace-bouclier épaisse,3000,0,0,300,0,MASTODONTE,DEFENSIVE
Glande sonique,1250,0,0,0,15,LEGER,DEFENSIVE
Carapace thermorégulatrice,3000,0,0,100,20,LEGER,DEFENSIVE
Carapace bioélectrique,1750,0,0,100,0,ELEMENTAIRE,DEFENSIVE
Carapace ignifuge,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Carapace isolante,2250,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Carapace adaptative thermique,2750,0,0,200,0,ELEMENTAIRE,DEFENSIVE
Membrane buccale renforcée,150,0,0,20,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Carapace céphalique,750,0,0,75,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Exosquelette thoracique,1500,0,0,150,0,PILOTE_DESTRUCTEUR,DEFENSIVE
Carapace mimétique urbaine,1500,0,0,100,10,SNIPER,DEFENSIVE
Peau caméléon adaptative,2500,0,0,125,10,SNIPER,DEFENSIVE
